Item_ID,Item_Name,Category,Fat_Content,Weight
ITM0001,Amul Butter #1,Snacks,regular,1.19
ITM0002,Colgate Toothpaste #2,Snacks, LOW FAT  ,0.56
ITM0003,Dettol Handwash #3,Dairy,Regular,3.54
ITM0004,Colgate Toothpaste #4,Personal Care,low fat,0.13
ITM0005,Parle-G Biscuit #5,Frozen,low fat,4.79
ITM0006,Tata Salt #6,Snacks,Low Fat,1.79
ITM0007,Horlicks #7,Dairy,Low  Fat,4.62
ITM0008,Aashirvaad Atta #8,Meat,Regular ,
ITM0009,Tropicana OJ #9,Bakery,Low Fat,4.35
ITM0010,Haldiram Mixture #10,Personal Care,Regular,1.13
ITM0011,Aashirvaad Atta #11,Snacks,regular,3.67
ITM0012,Maggi Noodles #12,Frozen,regular,1.18
ITM0013,Dove Soap #13,Dairy, Regular   ,1.65
ITM0014,Colgate Toothpaste #14,Bakery,regular,3.31
ITM0015,Chicken Breast #15,Personal Care,low fat,3.75
ITM0016,Colgate Toothpaste #16,Frozen,LOW FAT,4.99
ITM0017,Coca-Cola #17,Personal Care, Regular   ,0.64
ITM0018,Aashirvaad Atta #18,Frozen,Low Fat,3.02
ITM0019,Dettol Handwash #19,Meat,Regular ,3.43
ITM0020,Parle-G Biscuit #20,Meat,Low Fat,
ITM0021,KitKat #21,Meat,Regular ,4.57
ITM0022,KitKat #22,Meat,Low  Fat,1.93
ITM0023,Aashirvaad Atta #23,Dairy,low fat,0.65
ITM0024,Dove Soap #24,Meat,Low Fat,2.88
ITM0025,Coca-Cola #25,Personal Care,Regular ,0.72
ITM0026,Maggi Noodles #26,Beverages,Low  Fat,2.17
ITM0027,Tropicana OJ #27,Bakery,LOW FAT,3.28
ITM0028,Britannia Bread #28,Personal Care,Regular,1.76
ITM0029,Colgate Toothpaste #29,Bakery, Regular  ,
ITM0030,Lay's Classic #30,Snacks,Regular ,2.62
ITM0031,Frozen Peas #31,Personal Care,Low  Fat,4.68
ITM0032,Dove Soap #32,Personal Care,Regular ,2.09
ITM0033,Haldiram Mixture #33,Frozen,LOW FAT,
ITM0034,Lay's Classic #34,Snacks,LOW FAT,4.02
ITM0035,Frozen Peas #35,Bakery,Low  Fat,2.17
ITM0036,Coca-Cola #36,Bakery,LOW FAT,4.29
ITM0037,Coca-Cola #37,Dairy,Regular ,0.91
ITM0038,Tata Salt #38,Bakery,Low Fat,0.11
ITM0039,Tropicana OJ #39,Personal Care,LOW FAT,3.68
ITM0040,Chicken Breast #40,Personal Care,Regular,4.85
ITM0041,Parle-G Biscuit #41,Dairy, Low Fat  ,2.44
ITM0042,Lay's Classic #42,Beverages,Low  Fat,1.01
ITM0043,Tata Salt #43,Bakery,Low Fat,2.89
ITM0044,Aashirvaad Atta #44,Dairy,Low Fat,2.96
ITM0045,Frozen Peas #45,Meat,regular,1.27
ITM0046,Horlicks #46,Meat,low fat,
ITM0047,Coca-Cola #47,Snacks,Low  Fat,1.40
ITM0048,Dove Soap #48,Snacks,low fat,2.25
ITM0049,Aashirvaad Atta #49,Meat,Regular ,0.14
ITM0050,Britannia Bread #50,Meat,Regular,4.46
ITM0051,Maggi Noodles #51,Beverages,low fat,3.62
ITM0052,KitKat #52,Meat,LOW FAT,
ITM0053,Maggi Noodles #53,Frozen, Low Fat  ,3.88
ITM0054,Spinach #54,Meat,regular,3.56
ITM0055,Coca-Cola #55,Snacks,regular,2.77
ITM0056,Surf Excel #56,Beverages, Regular  ,1.89
ITM0057,Haldiram Mixture #57,Dairy,Regular,3.37
ITM0058,Aashirvaad Atta #58,Frozen,regular,4.66
ITM0059,Surf Excel #59,Beverages,Low Fat,4.63
ITM0060,Dove Soap #60,Frozen,low fat,3.54
ITM0061,Cadbury Dairy Milk #61,Dairy,Regular,4.60
ITM0062,Dove Soap #62,Bakery,Low Fat,2.05
ITM0063,Maggi Noodles #63,Snacks,low fat,2.06
ITM0064,Amul Butter #64,Vegetables,Low Fat,1.38
ITM0065,Lay's Classic #65,Meat,Low Fat,1.79
ITM0066,Aashirvaad Atta #66,Frozen,Low  Fat,4.51
ITM0067,Surf Excel #67,Dairy,Low Fat,4.05
ITM0068,Haldiram Mixture #68,Bakery, LOW FAT  ,3.35
ITM0069,Britannia Bread #69,Vegetables,regular,2.58
ITM0070,Tata Salt #70,Vegetables,regular,0.72
ITM0071,Spinach #71,Frozen,Low  Fat,2.09
ITM0072,Tropicana OJ #72,Meat,Regular,2.94
ITM0073,Horlicks #73,Personal Care,LOW FAT,2.60
ITM0074,Coca-Cola #74,Beverages,low fat,3.20
ITM0075,Tropicana OJ #75,Bakery,Regular,
ITM0076,Aashirvaad Atta #76,Personal Care,Regular ,2.33
ITM0077,Tata Salt #77,Bakery,LOW FAT,0.82
ITM0078,Surf Excel #78,Snacks,Regular,4.79
ITM0079,Dettol Handwash #79,Dairy,Regular,0.69
ITM0080,KitKat #80,Personal Care,Low  Fat,4.76
ITM0081,Dettol Handwash #81,Frozen,LOW FAT,3.74
ITM0082,Dove Soap #82,Meat,Regular ,3.85
ITM0083,Maggi Noodles #83,Bakery, LOW FAT  ,1.50
ITM0084,Dettol Handwash #84,Vegetables,Low Fat,1.23
ITM0085,Coca-Cola #85,Bakery,LOW FAT,2.76
ITM0086,Surf Excel #86,Bakery,LOW FAT,2.96
ITM0087,Cadbury Dairy Milk #87,Frozen,Low Fat,1.56
ITM0088,Dettol Handwash #88,Frozen,regular,4.02
ITM0089,Dove Soap #89,Personal Care,low fat,0.24
ITM0090,Spinach #90,Frozen,Regular ,0.73
ITM0091,Tata Salt #91,Dairy,Low  Fat,0.23
ITM0092,Horlicks #92,Beverages, Regular  ,1.96
