Transaction_ID,Date,Item_ID,Outlet_ID,Customer_ID,Quantity,Sales,Rating
TXN0009657,12-01-2022,ITM0464,OUT005,CUS01299,12,826.70,3.9
TXN0009220,14-06-2019,ITM0278,OUT019,CUS01172,6,3846.12,4.7
TXN0003645,26-09-2018,ITM0333,OUT017,CUS00513,18,949.25,1.9
TXN0003283,17-07-2020,ITM0177,OUT043,CUS00732,10,2236.00,3.7
TXN0009812,29-03-2022,ITM0266,OUT037,CUS00580,18,3390.99,2.6
TXN0006312,09-10-2022,ITM0138,OUT046,CUS01880,4,2304.86,2.9
TXN0000003,30-11-2020,ITM0155,OUT009,CUS00612,17,1644.99,1.2
TXN0008139,07-11-2022,ITM0192,OUT028,CUS01042,1,3655.01,2.1
TXN0010173,03-12-2020,ITM0125,OUT023,CUS00250,1,,1.6
TXN0005903,23-08-2019,ITM0073,OUT035,CUS00137,1,2849.23,4.2
TXN0001037,20-06-2020,ITM0024,OUT021,CUS01509,12,1846.20,3.6
TXN0005949,27-01-2020,ITM0188,OUT043,CUS00716,5,4711.56,3.1
TXN0003084,05-04-2023,ITM0356,OUT027,CUS01640,17,1636.14,1.9
TXN0008131,11-08-2023,ITM0418,OUT001,CUS00795,17,2512.86,1.2
TXN0002379,22-10-2022,ITM0261,OUT040,CUS01398,4,2345.40,1.2
TXN0003833,23-02-2018,ITM0262,OUT005,CUS01608,18,4199.26,2.6
TXN0003763,10-02-2018,ITM0113,OUT047,CUS00543,5,2478.13,2.2
TXN0007111,29-05-2023,ITM0128,OUT049,CUS00107,4,3752.93,2.2
TXN0005913,24-06-2023,ITM0378,OUT018,CUS00412,19,4185.31,4.8
TXN0010013,31-03-2021,ITM0175,OUT009,CUS00332,7,2927.54,1.8
TXN0001646,10-08-2019,ITM0055,OUT021,CUS01295,4,,2.7
TXN0009895,03-09-2020,ITM0458,OUT046,CUS01395,18,945.70,4.6
TXN0003908,,ITM0077,OUT005,CUS01650,1,2264.27,
TXN0010072,23-01-2023,ITM0414,OUT049,CUS01039,20,709.23,4.1
TXN0001123,30-09-2020,ITM0193,OUT010,CUS01115,8,,4.8
TXN0006488,27-11-2019,ITM0259,OUT022,CUS01949,10,3622.33,2.3
TXN0000158,24-07-2020,ITM0144,OUT028,CUS00801,11,2687.44,1.7
TXN0007703,16-02-2019,ITM0109,OUT004,CUS00893,8,,1.0
TXN0010264,05-04-2018,ITM0126,OUT002,CUS01101,16,2725.04,2.1
TXN0005094,29-11-2023,ITM0424,OUT046,CUS01268,18,2818.58,3.0
TXN0006118,26-06-2021,ITM0463,OUT025,CUS00539,8,3679.15,
TXN0000718,17-10-2022,ITM0081,OUT007,CUS01216,18,714.86,3.0
TXN0004556,24-12-2022,ITM0482,OUT001,CUS00204,17,1977.88,2.8
TXN0000890,15-11-2021,ITM0358,OUT025,CUS00010,11,2059.92,2.2
TXN0008532,08-07-2018,ITM0224,OUT028,CUS01338,8,2617.60,4.3
TXN0002719,28-11-2023,ITM0377,OUT039,CUS00900,5,1433.66,2.1
TXN0001400,23-08-2021,ITM0429,OUT027,CUS00587,6,,
TXN0009430,,ITM0403,OUT048,CUS00722,6,2628.86,4.8
TXN0002418,05-03-2018,ITM0495,OUT048,CUS00080,13,1672.41,2.3
TXN0003400,19-05-2019,ITM0004,OUT049,CUS01980,18,3563.69,2.2
TXN0006434,17-03-2018,ITM0059,OUT036,CUS01752,20,3661.05,4.8
TXN0005671,28-02-2022,ITM0379,OUT044,CUS00182,20,1097.33,4.7
TXN0003873,19-08-2021,ITM0473,OUT005,CUS00531,3,1458.86,1.5
TXN0007226,,ITM0451,OUT041,CUS01267,6,4990.93,2.9
TXN0008456,08-03-2023,ITM0479,OUT007,CUS00575,8,2731.77,1.7
TXN0002142,09-04-2020,ITM0482,OUT043,CUS00153,12,,3.9
TXN0004933,22-09-2021,ITM0297,OUT033,CUS01920,3,1120.60,4.1
TXN0001437,14-08-2023,ITM0498,OUT028,CUS00129,14,773.80,
TXN0000869,21-09-2019,ITM0122,OUT047,CUS00965,19,,2.4
TXN0007424,30-12-2021,ITM0239,OUT049,CUS01594,4,4628.05,3.3
TXN0003826,08-12-2021,ITM0041,OUT019,CUS01800,18,4512.18,
TXN0008593,26-02-2020,ITM0152,OUT005,CUS01119,9,4019.21,3.4
TXN0002377,24-06-2020,ITM0308,OUT002,CUS00718,11,1320.10,3.4
TXN0003145,04-11-2018,ITM0013,OUT045,CUS00403,13,2081.00,1.3
TXN0000506,05-09-2019,ITM0281,OUT038,CUS01713,1,1481.56,4.3
TXN0002172,26-04-2019,ITM0190,OUT007,CUS00432,20,612.37,3.4
TXN0006944,12-10-2022,ITM0384,OUT033,CUS01309,17,1168.46,4.6
TXN0001069,20-08-2021,ITM0100,OUT010,CUS00326,17,2460.07,4.6
TXN0002187,01-06-2018,ITM0075,OUT038,CUS01058,,4756.33,3.9
TXN0009985,17-10-2021,ITM0475,OUT022,CUS01560,10,2640.58,4.1
TXN0005870,12-01-2023,ITM0426,OUT004,CUS01714,16,4392.75,3.9
TXN0002600,22-03-2023,ITM0096,OUT017,CUS00571,18,,4.2
TXN0004460,05-08-2022,ITM0427,OUT037,CUS01098,,1326.10,2.9
TXN0000501,22-12-2023,ITM0218,OUT048,CUS00548,17,2189.56,1.5
TXN0004324,,ITM0314,OUT042,CUS00830,14,4499.03,1.7
TXN0010429,09-09-2020,ITM0115,OUT021,CUS01007,1,235.65,
TXN0000305,23-09-2018,ITM0010,OUT023,CUS01735,4,2645.89,5.0
TXN0005455,24-06-2018,ITM0497,OUT020,CUS00996,2,2294.11,1.3
TXN0010141,30-01-2019,ITM0114,OUT034,CUS00943,3,1326.25,4.1
TXN0007842,07-07-2021,ITM0368,OUT032,CUS01368,13,1046.74,3.0
TXN0003827,02-03-2019,ITM0168,OUT041,CUS00358,16,700.27,4.3
TXN0009976,24-06-2022,ITM0396,OUT022,CUS00746,15,4783.85,2.9
TXN0005218,19-04-2023,ITM0351,OUT046,CUS01272,10,2543.68,4.0
TXN0000025,02-12-2023,ITM0297,OUT045,CUS00273,16,2577.32,1.2
TXN0003360,26-11-2021,ITM0199,OUT024,CUS00557,19,654.65,
TXN0008437,13-03-2018,ITM0008,OUT034,CUS01078,9,3534.96,2.7
TXN0001160,,ITM0045,OUT006,CUS01231,14,4239.52,1.1
